x_m,y_m,psi_rad,gamma_n,gamma_feasible,rank,sigma_min,rejection_reason,solver_status
-0.9405,-0.8645,0.785398,nan,0,3,0.0147548,solver_infeasible,primal infeasible
-0.9405,-0.855,0.785398,nan,0,3,0.00741188,solver_infeasible,primal infeasible
-0.9405,-0.8455,0.785398,nan,0,3,0.0332392,solver_infeasible,primal infeasible
-0.9405,-0.836,0.785398,nan,0,3,0.0633039,solver_infeasible,primal infeasible
-0.9405,-0.8265,0.785398,nan,0,3,0.0980638,solver_infeasible,primal infeasible
-0.9405,-0.817,0.785398,nan,0,3,0.137618,solver_infeasible,primal infeasible
-0.9405,-0.8075,0.785398,nan,0,3,0.181331,solver_infeasible,primal infeasible
-0.9405,-0.798,0.785398,nan,0,3,0.227416,solver_infeasible,primal infeasible
-0.9405,-0.7885,0.785398,nan,0,3,0.272752,solver_infeasible,primal infeasible
-0.9405,-0.779,0.785398,nan,0,3,0.313377,solver_infeasible,primal infeasible
-0.9405,-0.7695,0.785398,nan,0,3,0.345726,solver_infeasible,primal infeasible
-0.9405,-0.76,0.785398,nan,0,3,0.367963,solver_infeasible,primal infeasible
-0.9405,-0.7505,0.785398,nan,0,3,0.380438,solver_infeasible,primal infeasible
-0.9405,-0.741,0.785398,nan,0,3,0.385032,solver_infeasible,primal infeasible
-0.9405,-0.7315,0.785398,nan,0,3,0.3841,solver_infeasible,primal infeasible
-0.9405,-0.722,0.785398,nan,0,3,0.379723,solver_infeasible,primal infeasible
-0.9405,-0.7125,0.785398,nan,0,3,0.373435,solver_infeasible,primal infeasible
-0.9405,-0.703,0.785398,nan,0,3,0.36625,solver_infeasible,primal infeasible
-0.9405,-0.6935,0.785398,nan,0,3,0.358793,solver_infeasible,primal infeasible
-0.9405,-0.684,0.785398,nan,0,3,0.351423,solver_infeasible,primal infeasible
-0.9405,-0.6745,0.785398,nan,0,3,0.344335,solver_infeasible,primal infeasible
-0.9405,-0.665,0.785398,nan,0,3,0.337625,solver_infeasible,primal infeasible
-0.9405,-0.6555,0.785398,nan,0,3,0.331328,solver_infeasible,primal infeasible
-0.9405,-0.646,0.785398,nan,0,3,0.325447,solver_infeasible,primal infeasible
-0.9405,-0.6365,0.785398,nan,0,3,0.319967,solver_infeasible,primal infeasible
-0.9405,-0.627,0.785398,nan,0,3,0.314863,solver_infeasible,primal infeasible
-0.9405,-0.6175,0.785398,nan,0,3,0.310109,solver_infeasible,primal infeasible
-0.9405,-0.608,0.785398,nan,0,3,0.305675,solver_infeasible,primal infeasible
-0.9405,-0.5985,0.785398,nan,0,3,0.301533,solver_infeasible,primal infeasible
-0.9405,-0.589,0.785398,nan,0,3,0.297656,solver_infeasible,primal infeasible
-0.9405,-0.5795,0.785398,nan,0,3,0.294022,solver_infeasible,primal infeasible
-0.9405,-0.57,0.785398,nan,0,3,0.290606,solver_infeasible,primal infeasible
-0.9405,-0.5605,0.785398,nan,0,3,0.28739,solver_infeasible,primal infeasible
-0.9405,-0.551,0.785398,nan,0,3,0.284356,solver_infeasible,primal infeasible
-0.9405,-0.5415,0.785398,nan,0,3,0.281487,solver_infeasible,primal infeasible
-0.9405,-0.532,0.785398,nan,0,3,0.278769,solver_infeasible,primal infeasible
-0.9405,-0.5225,0.785398,nan,0,3,0.276189,solver_infeasible,primal infeasible
-0.9405,-0.513,0.785398,nan,0,3,0.273735,solver_infeasible,primal infeasible
-0.9405,-0.5035,0.785398,nan,0,3,0.271397,solver_infeasible,primal infeasible
-0.9405,-0.494,0.785398,nan,0,3,0.269165,solver_infeasible,primal infeasible
-0.9405,-0.4845,0.785398,nan,0,3,0.267031,solver_infeasible,primal infeasible
-0.9405,-0.475,0.785398,nan,0,3,0.264988,solver_infeasible,primal infeasible
-0.9405,-0.4655,0.785398,nan,0,3,0.263028,solver_infeasible,primal infeasible
-0.9405,-0.456,0.785398,nan,0,3,0.261145,solver_infeasible,primal infeasible
-0.9405,-0.4465,0.785398,nan,0,3,0.259334,solver_infeasible,primal infeasible
-0.9405,-0.437,0.785398,nan,0,3,0.257589,solver_infeasible,primal infeasible
-0.9405,-0.4275,0.785398,nan,0,3,0.255907,solver_infeasible,primal infeasible
-0.9405,-0.418,0.785398,nan,0,3,0.254281,solver_infeasible,primal infeasible
-0.9405,-0.4085,0.785398,nan,0,3,0.25271,solver_infeasible,primal infeasible
-0.9405,-0.399,0.785398,nan,0,3,0.251189,solver_infeasible,primal infeasible
-0.9405,-0.3895,0.785398,nan,0,3,0.249714,solver_infeasible,primal infeasible
-0.9405,-0.38,0.785398,nan,0,3,0.248284,solver_infeasible,primal infeasible
-0.9405,-0.3705,0.785398,nan,0,3,0.246895,solver_infeasible,primal infeasible
-0.9405,-0.361,0.785398,nan,0,3,0.245544,solver_infeasible,primal infeasible
-0.9405,-0.3515,0.785398,nan,0,3,0.24423,solver_infeasible,primal infeasible
-0.9405,-0.342,0.785398,nan,0,3,0.24295,solver_infeasible,primal infeasible
-0.9405,-0.3325,0.785398,nan,0,3,0.241702,solver_infeasible,primal infeasible
-0.9405,-0.323,0.785398,nan,0,3,0.240484,solver_infeasible,primal infeasible
-0.9405,-0.3135,0.785398,nan,0,3,0.239295,solver_infeasible,primal infeasible
-0.9405,-0.304,0.785398,nan,0,3,0.238133,solver_infeasible,primal infeasible
-0.9405,-0.2945,0.785398,nan,0,3,0.236997,solver_infeasible,primal infeasible
-0.9405,-0.285,0.785398,nan,0,3,0.235885,solver_infeasible,primal infeasible
-0.9405,-0.2755,0.785398,nan,0,3,0.234795,solver_infeasible,primal infeasible
-0.9405,-0.266,0.785398,nan,0,3,0.233728,solver_infeasible,primal infeasible
-0.9405,-0.2565,0.785398,nan,0,3,0.23268,solver_infeasible,primal infeasible
-0.9405,-0.247,0.785398,nan,0,3,0.231653,solver_infeasible,primal infeasible
-0.9405,-0.2375,0.785398,nan,0,3,0.230643,solver_infeasible,primal infeasible
-0.9405,-0.228,0.785398,nan,0,3,0.229651,solver_infeasible,primal infeasible
-0.9405,-0.2185,0.785398,nan,0,3,0.228675,solver_infeasible,primal infeasible
-0.9405,-0.209,0.785398,nan,0,3,0.227716,solver_infeasible,primal infeasible
-0.9405,-0.1995,0.785398,nan,0,3,0.22677,solver_infeasible,primal infeasible
-0.9405,-0.19,0.785398,nan,0,3,0.22584,solver_infeasible,primal infeasible
-0.9405,-0.1805,0.785398,nan,0,3,0.224922,solver_infeasible,primal infeasible
-0.9405,-0.171,0.785398,nan,0,3,0.224017,solver_infeasible,primal infeasible
-0.9405,-0.1615,0.785398,nan,0,3,0.223124,solver_infeasible,primal infeasible
-0.9405,-0.152,0.785398,nan,0,3,0.222242,solver_infeasible,primal infeasible
