y_m,z_m,hit_count
-0.55,1.06,5
-0.55,1.07,6
-0.55,1.08,3
-0.55,1.09,4
-0.55,1.1,4
-0.55,1.11,6
-0.55,1.12,5
-0.55,1.13,5
-0.55,1.14,5
-0.55,1.15,2
-0.55,1.16,2
-0.55,1.17,4
-0.55,1.18,6
-0.55,1.19,8
-0.55,1.2,2
-0.55,1.21,3
-0.55,1.22,6
-0.55,1.23,4
-0.55,1.24,7
-0.55,1.25,2
-0.55,1.26,2
-0.55,1.27,1
-0.55,1.28,1
-0.55,1.29,6
-0.55,1.3,3
-0.55,1.31,3
-0.55,1.32,1
-0.55,1.33,2
-0.55,1.35,3
-0.55,1.36,3
-0.55,1.37,2
-0.55,1.38,1
-0.55,1.39,2
-0.55,1.4,3
-0.55,1.41,1
-0.54,0.4,3
-0.54,0.41,1
-0.54,0.44,2
-0.54,0.46,2
-0.54,0.47,4
-0.54,0.48,3
-0.54,0.49,5
-0.54,0.5,5
-0.54,0.51,5
-0.54,0.52,3
-0.54,0.53,4
-0.54,0.54,4
-0.54,0.55,4
